total_points,avg_dev,std_dev,label,band_1_points,band_2_points,band_3_points,band_4_points,band_5_points,band_6_points,band_7_points,band_8_points,band_9_points,band_10_points,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,dev_12,dev_13,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19,dev_20
10,1.63176e+07,1.52521e+07,0,1,0,1,0,1,0,1,1,2,3,2.64332e+07,2.66867e+07,117421,3.6553e+07,4.05274e+07,112307,3.25164e+06,5.34113e+06,7.83581e+06,0,0,0,0,0,0,0,0,0,0,0
68,79.5466,76.3357,1,4,2,5,4,8,8,6,12,6,13,52.9737,51.3919,41.9822,108.75,129.566,59.9675,56.0099,150.297,112.37,29.894,29.4244,82.7066,87.2955,11.1628,220.016,72.697,208.628,182.315,27.2109,107.859
63,2.48293e+07,2.65496e+07,0,4,2,5,4,4,8,5,12,6,13,6.22937e+06,7.11039e+06,4.89625e+06,1.62769e+07,2.78169e+07,5.36532e+06,4.9315e+06,5.06929e+06,1.74381e+07,7.06276e+07,7.2514e+07,5.84661e+07,3.22513e+07,6.94774e+07,7.30377e+07,1.96641e+07,2.49852e+07,411099,5.2197e+07,4.5436e+07
21,76.2211,70.1036,1,1,1,1,2,2,1,3,3,3,4,30.5139,66.2973,29.9528,222.597,59.9614,142.355,93.8854,13.3765,60.2379,0.804911,9.23337,21.1009,149.208,131.835,116.991,1.42275,9.11245,15.4714,233.211,116.853
20,2.05265e+07,2.21492e+07,0,1,1,1,2,0,2,3,3,3,4,833683,2.33122e+06,5.70397e+07,2.45366e+07,6.04628e+07,1.67621e+06,9.49163e+06,5.39896e+07,5.63541e+07,4.07931e+07,1.7906e+07,264363,1.81373e+06,4.74406e+06,202960,1.67088e+06,2.3231e+06,3.60555e+07,1.7515e+07,0
10,26.7675,20.9142,1,1,0,1,0,1,0,1,1,2,3,59.5797,54.1254,6.12828,11.4273,13.2876,0.587301,16.8469,30.4517,48.4736,0,0,0,0,0,0,0,0,0,0,0
10,1.63221e+07,1.52542e+07,0,1,0,1,0,1,0,1,1,2,3,2.64325e+07,2.66865e+07,116671,3.65601e+07,4.05423e+07,112333,3.2558e+06,5.35363e+06,7.83873e+06,0,0,0,0,0,0,0,0,0,0,0
71,78.3585,75.0663,1,4,4,3,8,4,8,12,6,12,10,115.312,90.5726,72.261,214.788,94.9578,62.8986,59.496,153.897,119.361,30.3694,31.4209,107.476,95.8638,13.962,223.898,62.9293,210.76,180.26,22.6673,98.5667
73,2.46538e+07,2.63185e+07,0,4,2,5,4,8,4,11,6,12,17,6.84118e+06,6.56348e+06,5.31824e+06,1.55288e+07,3.35955e+07,6.20131e+06,5.7493e+06,2.51439e+06,1.43111e+07,7.09097e+07,7.25099e+07,6.39072e+07,2.84111e+07,6.96148e+07,7.52586e+07,2.28237e+07,2.74536e+07,182647,5.28304e+07,4.87944e+07
19,57.6789,55.5604,1,1,1,1,2,0,2,3,3,3,3,32.6842,66.8115,31.2644,169.289,13.0578,139.949,13.6193,66.2887,0.828705,9.81166,25.9554,149.117,131.606,114.844,1.44348,9.41205,16.9599,45.2765,0,0
19,2.26195e+07,2.31456e+07,0,1,1,2,0,2,3,0,3,3,4,1.04929e+07,5.70955e+07,2.24845e+07,6.81641e+07,1.79246e+06,1.07676e+07,5.89688e+07,5.63004e+07,4.00262e+07,1.37417e+07,269888,1.82961e+06,5.27479e+06,227051,1.68925e+06,2.35453e+06,3.74302e+07,1.82419e+07,0,0
10,52.4456,11.6981,1,1,0,1,0,1,0,1,1,2,3,58.2023,52.5602,62.8404,28.2248,39.7882,70.6191,54.7116,54.5457,50.518,0,0,0,0,0,0,0,0,0,0,0
10,1.67642e+07,1.54667e+07,0,1,0,1,0,1,0,1,1,2,3,2.6374e+07,2.66613e+07,49214.7,3.74526e+07,4.18482e+07,113495,3.84956e+06,6.38707e+06,8.14254e+06,0,0,0,0,0,0,0,0,0,0,0
70,80.3449,77.0408,1,4,2,6,6,6,9,6,12,6,13,45.8625,35.3378,38.8691,80.268,164.218,139.257,48.6655,33.0927,121.077,117.497,26.9338,247.529,31.9974,217.873,167.556,16.2034,78.9127,219.549,180.407,60.1751
73,2.68239e+07,2.7743e+07,0,4,2,5,8,4,8,6,12,6,18,3.03376e+06,7.739e+06,3.62529e+06,1.35354e+07,4.96007e+07,8.94459e+06,5.30318e+06,1.60218e+06,4.93565e+06,7.59763e+07,7.03237e+07,7.05316e+07,2.76524e+07,7.20704e+07,8.1065e+07,2.4983e+07,3.37194e+07,3.13705e+06,6.16356e+07,4.93267e+07
18,62.7323,58.9981,1,1,1,2,0,2,3,0,3,3,3,114.627,35.9402,163.463,3.70294,135.432,13.8086,81.6778,0.922201,10.1458,33.0536,0.655792,4.08235,11.9486,149.86,137.273,121.134,48.723,0,0,0
19,2.56787e+07,2.73929e+07,0,1,1,2,0,2,3,0,3,3,4,3.24264e+07,2.59863e+06,1.99515e+07,9.07634e+07,5.73731e+07,1.37114e+07,7.3514e+07,5.59565e+07,3.93943e+07,1.87003e+06,294128,1.847e+06,6.24917e+06,272357,1.70823e+06,3.44979e+06,4.04923e+07,2.03443e+07,0,0
10,56.9717,22.9023,1,1,0,1,0,1,0,1,1,2,3,13.8766,48.8692,60.1623,106.446,44.8875,70.6112,56.9079,54.1747,56.8098,0,0,0,0,0,0,0,0,0,0,0
10,1.90908e+07,1.67027e+07,0,1,0,1,0,1,0,1,1,2,3,2.62363e+07,2.63849e+07,70449.3,4.1632e+07,4.88643e+07,107897,7.03558e+06,1.23508e+07,9.13478e+06,0,0,0,0,0,0,0,0,0,0,0
70,81.8092,75.9396,1,4,2,6,3,8,5,10,11,7,14,50.9465,116.642,94.3954,212.737,46.8225,26.7115,3.04778,97.6869,57.3965,181.178,69.539,215.387,73.1625,29.8362,20.8897,173.528,178.868,194.073,55.8379,107.617
65,2.5388e+07,2.79432e+07,0,4,2,6,4,4,9,5,11,6,14,5.72656e+06,2.10782e+07,1.58355e+07,4.17241e+07,1.35143e+06,448146,8.30843e+06,1.46599e+07,5.49461e+07,6.92468e+07,7.18076e+07,7.46482e+07,1.90254e+07,5.726e+07,6.39173e+07,1.30298e+08,3.77284e+07,6.40666e+06,2.11559e+07,1.43021e+07
21,73.8628,56.2889,1,1,1,2,2,0,2,3,3,3,4,83.353,56.6243,47.1211,133.889,127.468,85.8317,139.462,14.7197,51.7868,1.17538,4.06008,29.4548,149.805,138.609,111.776,1.62935,5.88536,18.2298,174.411,101.965
22,2.4778e+07,2.23255e+07,0,1,1,2,2,0,2,3,3,4,4,2.6891e+07,5.95691e+06,2.40587e+07,8.6635e+07,5.71067e+07,1.45079e+07,2.97037e+06,1.33762e+07,4.43589e+07,5.55874e+07,4.67819e+07,7.99203e+06,361568,1.64059e+06,5.69831e+06,3.99637e+07,5.16305e+06,1.03101e+07,2.87711e+07,2.67416e+07
10,24.5259,22.5638,1,1,0,1,0,1,1,0,1,2,3,61.7472,56.7573,4.63518,6.62005,5.84152,0.596629,20.0283,18.466,46.041,0,0,0,0,0,0,0,0,0,0,0
12,1.22366e+07,1.08651e+07,0,1,0,1,0,1,1,0,1,2,5,2.66982e+07,116715,201381,3.75751e+07,1.07212e+07,1.01006e+06,9.23765e+06,9.02968e+06,1.5048e+07,1.25741e+07,1.23903e+07,0,0,0,0,0,0,0,0,0
75,79.473,75.9396,1,3,6,3,6,4,10,10,6,13,14,40.8094,157.794,40.1053,7.75746,226.569,87.6462,233.264,137.343,51.9928,137.234,93.6155,41.5235,105.968,79.599,280.887,125.181,150.983,185.578,121.308,165.662
76,2.94293e+07,2.91294e+07,0,3,3,6,3,9,5,10,6,13,18,2.1508e+06,2.63351e+07,6.89362e+06,1.36575e+07,3.82464e+07,1.9496e+07,4.34887e+07,2.17314e+07,4.26618e+07,8.3701e+07,8.90805e+07,2.74955e+07,6.75923e+07,7.23619e+07,7.60324e+07,3.42267e+07,6.32636e+06,2.24188e+07,3.26841e+07,1.00995e+08
21,88.0896,57.872,1,1,1,2,2,0,2,2,3,4,4,18.6359,101.985,0.570719,103.292,118.134,96.039,132.021,6.16768,17.3813,4.9783,60.4747,149.859,141.731,114.107,208.019,17.3419,96.1354,123.859,146.662,104.398
20,2.65204e+07,2.33958e+07,0,1,2,2,0,2,2,0,3,4,4,1.4069e+07,4.06932e+07,7.40323e+07,5.61049e+07,1.2247e+07,4.92391e+06,5.43359e+06,3.93776e+07,5.77222e+07,7.364e+07,449723,992075,1.065e+07,3.42878e+07,3.52968e+06,1.60827e+07,2.0913e+07,2.27354e+07,1.6004e+07,0
10,53.1167,12.0264,1,1,0,1,0,1,1,0,1,2,3,59.1767,53.3518,64.0171,27.9465,40.5292,71.3013,56.415,55.1209,50.1919,0,0,0,0,0,0,0,0,0,0,0
10,1.70786e+07,1.56888e+07,0,1,0,1,0,1,0,1,1,2,3,2.68933e+07,2.70773e+07,234565,3.73058e+07,4.31348e+07,79069.3,3.61227e+06,7.25754e+06,8.11245e+06,0,0,0,0,0,0,0,0,0,0,0
74,78.0718,74.7224,1,3,5,3,7,4,9,10,6,13,14,178.877,111.215,68.6444,234.4,40.337,1.34664,132.604,58.735,196.929,89.7756,286.153,94.1799,32.4419,21.7706,179.626,176.203,197.405,127.295,106.055,167.986
72,2.6833e+07,2.80252e+07,0,3,5,3,7,4,10,5,12,7,16,1.84187e+07,2.81005e+07,714832,973513,8.45975e+06,1.03026e+07,1.8295e+07,3.58885e+07,9.38429e+07,9.01503e+07,3.38866e+07,7.17119e+07,7.32434e+07,7.71823e+07,4.19813e+07,6.67468e+06,2.22907e+07,3.76471e+07,3.14418e+07,6.21018e+06
21,82.3914,57.5054,1,2,2,2,0,2,2,0,3,4,4,81.0386,151.307,76.0082,58.4363,95.4315,107.357,119.826,3.54564,12.8801,3.55255,80.9355,1.62172,3.2868,31.8078,84.1574,153.421,204.623,130.146,134.265,114.181
20,2.85758e+07,2.36843e+07,0,1,2,2,0,2,2,0,3,4,4,1.50281e+07,1.88052e+07,1.47029e+07,6.06147e+07,5.40384e+07,5.82963e+07,3.07605e+06,4.36789e+07,5.54236e+07,8.60397e+07,742912,623107,1.59738e+07,3.29341e+07,2.46709e+06,2.17155e+07,1.68141e+07,2.33179e+07,1.86486e+07,0
10,52.3158,34.0637,1,1,0,1,1,0,1,1,2,0,3,17.2235,43.0467,100.16,67.6886,23.075,113.192,35.4102,11.1348,59.9119,0,0,0,0,0,0,0,0,0,0,0
10,1.90726e+07,1.04578e+07,0,1,0,1,0,1,1,1,2,0,3,2.7894e+07,2.93321e+07,1.51792e+07,2.59875e+07,3.57464e+07,1.66041e+07,5.8026e+06,5.03722e+06,1.00699e+07,0,0,0,0,0,0,0,0,0,0,0
74,78.7829,75.8389,1,4,3,6,4,9,5,10,11,8,14,174.215,54.9377,109.33,51.8598,2.70616,141.848,58.6973,199.128,95.9573,304.517,89.6209,33.0943,22.0928,188.43,178.283,202.704,142.362,109.67,170.312,222.898
70,2.56876e+07,2.83534e+07,0,3,2,6,3,8,5,10,11,8,14,1.96041e+07,2.79599e+07,676242,730830,1.08374e+07,1.09798e+07,1.93138e+07,3.68595e+07,9.53178e+07,9.27487e+07,3.99845e+07,7.32332e+07,7.48296e+07,7.90796e+07,4.29639e+07,6.66769e+06,2.26128e+07,4.25976e+07,3.21319e+07,6.23844e+06
22,62.6224,66.6992,1,1,1,2,2,3,0,3,3,3,4,156.395,34.118,126.425,7.61099,141.139,29.9144,21.7005,1.01126,7.54995,18.3573,0.907155,5.72871,13.9692,155.188,140.101,129.634,1.35994,7.62474,12.4458,203.407
22,1.95465e+07,2.08569e+07,0,1,1,1,2,3,0,3,3,3,5,824720,5.9016e+07,1.11684e+07,5.85884e+07,3.133e+07,1.94277e+07,5.79641e+07,3.55542e+07,1.07733e+07,100315,2.94789e+06,6.52421e+06,316048,1.51321e+06,3.05903e+06,284768,1.34393e+06,2.21429e+06,3.2155e+07,4.37904e+07
82,84.6571,69.2967,1,3,5,6,4,9,10,5,12,14,14,90.2213,78.0237,113.757,26.6228,197.048,155.855,50.2742,68.71,32.337,37.3168,6.55328,2.08073,141.417,178.887,169.585,64.7807,118.454,151.275,54.5513,111.397
81,2.76769e+07,2.15962e+07,0,3,5,3,7,4,10,11,6,14,18,3.49775e+07,3.63984e+06,1.28967e+07,9.42515e+06,7.02881e+06,2.52847e+07,1.4188e+07,8.54644e+06,595396,1.94181e+07,4.67841e+07,5.27199e+07,8.29238e+07,7.08249e+07,5.47192e+07,5.67909e+07,1.55464e+07,6.4258e+07,6.88744e+07,8.23076e+06
22,83.3181,62.1592,1,1,1,2,2,1,1,3,3,4,4,77.5039,49.9439,122.453,60.8206,138.096,20.2462,34.9103,13.3042,48.5681,1.14673,2.83675,26.5716,158.224,147.752,119.916,223.967,24.9516,66.1636,156.658,160.592
22,2.63036e+07,2.00162e+07,0,1,1,2,2,0,2,3,3,4,4,2.08185e+07,5.96459e+06,6.06628e+07,5.43271e+07,6.00724e+07,1.79156e+07,3.21717e+07,1.31725e+07,3.97854e+07,5.89516e+07,5.00799e+07,1.65211e+07,363621,1.55071e+06,5.16795e+06,3.57904e+07,5.08499e+06,1.02209e+07,2.4742e+07,2.45903e+07
83,86.0569,67.9646,1,3,4,8,4,8,10,6,12,12,16,92.8352,63.3642,208.021,125.856,215.405,52.3857,88.6154,112.436,41.7306,25.5508,83.7936,159.391,228.437,23.2697,177.97,40.0512,5.18678,146.896,146.954,35.9426
85,2.80814e+07,2.5014e+07,0,4,4,4,8,8,6,12,6,13,20,7.11232e+06,3.78892e+06,6.07461e+06,3.89133e+07,2.58851e+07,8.58235e+06,5.84825e+06,2.08636e+07,1.91319e+07,2.04834e+06,2.98276e+06,1.84422e+07,6.94861e+07,9.77893e+07,6.36027e+07,6.60477e+07,8.98603e+07,6.00483e+07,2.93368e+07,6.53771e+07
23,80.3131,55.7423,1,1,2,2,2,0,2,3,3,4,4,85.3015,25.2906,135.43,112.809,98.2761,130.925,9.3819,21.3525,8.5381,70.0642,1.3855,3.65315,26.5722,159.026,154.374,117.551,174.129,14.8386,92.8309,95.4907
23,2.654e+07,2.29226e+07,0,1,2,2,2,0,2,3,3,4,4,2.69723e+07,4.9371e+06,4.33891e+07,6.3191e+07,5.3968e+07,6.14065e+07,8.8832e+06,2.22301e+07,6.59036e+06,6.72383e+07,5.90258e+07,5.417e+07,1.51766e+06,456923,1.23185e+06,6.52018e+06,3.05973e+07,3.09085e+06,1.46598e+07,1.78281e+07
85,87.7401,68.5127,1,4,5,7,4,8,10,6,12,14,15,79.17,170.613,61.5625,69.7192,8.65419,36.7397,93.3577,174.609,19.7247,19.0206,213.516,106.121,46.9048,139.021,40.4319,210.575,34.4571,76.9991,142.735,159.639
85,3.00894e+07,2.70889e+07,0,4,5,3,8,9,5,12,13,7,19,1.46132e+07,3.04918e+07,4.68902e+06,1.10856e+07,532370,2.47189e+06,1.28025e+07,3.81462e+07,3.94869e+07,5.96044e+07,9.95443e+07,1.49756e+07,4.00515e+07,8.40492e+07,7.3825e+07,6.92432e+07,1.02647e+08,1.70777e+07,4.14491e+07,2.4953e+06
23,83.2923,66.7857,1,1,1,2,2,1,2,3,3,4,4,87.2005,46.8804,130.66,63.6153,146.495,22.4458,61.718,1.18218,8.65555,31.5815,1.10493,3.24328,23.3887,166.576,154.676,128.339,233.5,27.6286,63.6986,166.979
22,2.76179e+07,2.09319e+07,0,1,1,2,2,0,2,3,3,4,4,2.34097e+07,4.27254e+06,6.38859e+07,5.65568e+07,6.33475e+07,1.99889e+07,3.4609e+07,1.46094e+07,3.60591e+07,6.21335e+07,5.26007e+07,2.16052e+07,349195,1.47831e+06,5.13036e+06,3.75378e+07,5.62602e+06,9.67137e+06,2.65497e+07,2.59414e+07
12,40.8261,29.1038,1,1,1,0,1,0,1,2,0,3,3,17.7238,46.093,61.6833,104.917,76.5346,27.8923,26.3515,0.784037,12.9989,28.2482,45.8601,0,0,0,0,0,0,0,0,0
14,1.04353e+07,9.31296e+06,0,1,1,0,1,0,1,2,0,3,5,237461,2.93485e+07,288568,1.29061e+07,2.84054e+07,7.58157e+06,202555,1.1556e+06,6.63984e+06,1.14121e+07,1.18789e+07,1.45634e+07,1.10393e+07,0,0,0,0,0,0,0
93,2.67025e+07,2.88883e+07,0,4,4,7,8,4,11,12,12,14,17,6.69433e+06,5.58012e+06,5.18224e+06,3.98424e+07,1.10887e+07,4.00377e+06,2.36986e+07,1.99267e+07,5.06502e+06,3.73126e+06,1.98112e+07,2.7126e+07,1.14009e+08,7.24687e+07,3.07154e+07,7.03718e+07,9.4542e+07,7.31502e+07,7.28168e+07,5.36489e+07
89,91.7945,71.6183,1,4,5,8,4,8,12,6,12,14,16,51.2192,215.834,58.6265,60.389,123.158,81.5438,49.0436,43.3695,105.586,86.4716,224.486,40.2143,81.7726,132.802,162.829,33.9495,205.259,45.8242,48.5087,160.669
21,62.4244,78.3251,1,1,1,1,3,0,3,3,3,3,3,24.769,125.434,218.592,238.293,0.598623,26.9362,20.8638,0.55128,14.497,16.7133,0.756287,5.58501,14.6307,173.933,153.323,148.34,1.20797,9.06541,11.4813,42.917
23,2.13755e+07,2.12866e+07,0,1,1,1,3,3,0,3,3,3,5,469229,6.46698e+07,1.49922e+07,1.81686e+07,402624,3.47456e+07,3.78675e+07,631413,1.26749e+07,1.21652e+07,6.5726e+07,4.37369e+07,4.16793e+07,189867,3.25161e+06,1.02347e+06,241205,1.724e+06,2.03331e+06,4.16276e+07
12,55.1009,30.7958,1,1,1,0,1,1,1,2,0,2,3,30.8734,19.7332,87.1821,67.6877,19.3265,109.379,47.662,99.233,21.0739,51.4898,52.469,0,0,0,0,0,0,0,0,0
13,1.19551e+07,1.23132e+07,0,1,1,0,1,2,0,2,0,2,4,4.43433e+06,3.59304e+07,1.23685e+06,1.36207e+06,3.53406e+07,2.38571e+06,4.60439e+06,8.19072e+06,3.37244e+06,7.45948e+06,2.4281e+07,1.48633e+07,0,0,0,0,0,0,0,0
101,83.746,65.0703,1,3,6,6,8,10,10,13,14,14,17,7.86096,71.0134,117.068,21.7787,56.4162,178.028,81.6738,10.9002,211.752,92.8306,17.9677,105.997,76.8883,118.191,51.978,35.5587,23.1415,171.38,174.871,165.437
105,2.82808e+07,2.25457e+07,0,4,6,6,9,5,10,13,14,15,23,2.82582e+07,8.48928e+06,6.98656e+06,1.72454e+07,673467,2.60542e+07,108544,1.20515e+07,6.51231e+06,3.56984e+07,4.44551e+06,4.2487e+07,7.29439e+07,7.35504e+07,2.45007e+07,2.21592e+07,5.4668e+07,5.29802e+07,7.57531e+07,7.09776e+07
24,70.2924,80.6787,1,1,1,1,2,3,3,3,3,3,4,122.162,52.314,36.74,148.894,28.9241,275.552,0.418905,17.4694,41.5935,0.863271,8.85518,16.4497,1.01527,5.83576,14.9627,181.589,163.715,155.278,1.08818,7.90061
22,2.66551e+07,2.67588e+07,0,1,1,2,2,1,2,3,3,3,4,5.66526e+07,495733,6.72587e+07,7.27412e+07,6.8296e+07,3.64785e+07,6.99585e+06,935819,1.18082e+07,1.74214e+07,6.84969e+07,5.05696e+07,3.95165e+07,196837,1.71267e+06,2.75732e+06,326075,1.40099e+06,2.21245e+06,3.63854e+07
12,55.239,37.6589,1,1,2,0,2,0,2,0,2,0,3,46.473,26.7457,74.8251,4.73652,6.8091,93.5578,63.403,89.2088,8.25279,120.037,73.5807,0,0,0,0,0,0,0,0,0
12,1.4085e+07,1.05149e+07,0,1,0,2,2,0,2,0,2,0,3,1.23394e+07,3.61807e+07,1.45844e+07,1.82684e+07,3.06705e+07,1.11828e+07,1.96778e+06,4.45746e+06,1.26357e+06,1.43726e+07,9.64708e+06,0,0,0,0,0,0,0,0,0
107,88.6706,68.0318,1,5,6,6,9,10,11,14,14,15,17,61.3388,132.699,4.57818,47.1286,91.8373,123.698,0.532781,192.058,81.4061,1.65898,147.332,101.405,5.1798,90.6203,79.2003,179.985,45.9253,29.6049,6.7949,67.8204
107,2.76268e+07,2.34784e+07,0,5,6,7,9,10,12,7,14,16,21,1.38014e+07,2.79458e+07,2.50978e+06,8.1352e+06,1.69011e+07,2.54585e+07,7.1359e+06,4.57173e+07,2.18795e+07,9.97628e+06,1.83976e+07,1.29339e+07,733108,6.4296e+07,6.55985e+07,6.789e+07,1.84162e+06,2.30558e+07,5.11488e+07,1.00259e+08
25,83.6315,94.4944,1,1,1,1,2,3,3,3,3,3,5,47.6748,133.789,35.7489,160.102,12.392,255.635,0.614166,18.8884,19.4758,0.563731,11.9561,17.7031,0.907694,6.20861,13.3579,191.541,170.452,163.695,1.29199,8.52114
23,2.0539e+07,2.35053e+07,0,1,1,1,3,3,0,3,3,3,5,505891,7.12477e+07,1.53358e+06,3.62982e+06,415115,2.56525e+07,2.92942e+07,746037,1.25302e+07,1.22854e+07,7.2351e+07,4.97145e+07,4.97196e+07,211099,2.0534e+06,2.33793e+06,253755,1.62426e+06,2.18368e+06,4.15281e+07
12,44.6622,31.6336,1,1,1,0,1,0,1,2,0,3,3,17.6641,53.8437,68.708,112.011,83.8625,32.8006,37.2419,0.895284,13.9682,22.714,47.5743,0,0,0,0,0,0,0,0,0
12,9.20775e+06,1.12361e+07,0,1,1,0,1,0,1,2,0,3,3,186203,3.22488e+07,370339,1.20873e+07,3.12937e+07,7.55151e+06,2.33036e+06,85370.7,1.96023e+06,5.41219e+06,7.75922e+06,0,0,0,0,0,0,0,0,0
121,83.8221,63.2639,1,6,6,7,10,10,12,18,15,18,19,49.4683,124.502,35.0303,49.2675,85.9899,31.5982,193.421,136.977,145.609,95.3129,89.0703,35.1989,98.9651,59.4081,6.82458,57.3491,64.0985,121.669,51.7217,17.5967
121,2.40887e+07,2.0706e+07,0,4,6,6,9,10,10,14,19,18,25,2.55285e+06,5.43172e+06,1.93002e+07,2.48745e+06,4.14365e+06,1.2849e+07,2.79435e+07,8.17554e+06,3.19974e+07,3.94224e+07,1.54684e+07,1.14585e+07,144650,7.87404e+06,8.79195e+06,4.66572e+07,6.01905e+07,7.02355e+07,1.0668e+07,2.17217e+07
29,109.016,105.753,1,1,1,1,2,3,3,3,3,5,7,32.4289,113.411,37.9065,166.291,59.8764,276.356,0.526123,17.1873,23.5772,0.768483,8.0045,19.2493,1.11015,5.75039,16.3119,199.982,181.156,168.996,308.936,42.4916
31,2.40759e+07,2.32283e+07,0,1,1,2,3,3,3,3,3,5,7,4.33701e+07,341941,7.43762e+07,6.38139e+07,1.14974e+07,510027,1.43045e+07,3.53821e+07,935947,1.20253e+07,1.31055e+07,7.54704e+07,5.56324e+07,4.98392e+07,200869,1.85898e+06,2.46708e+06,297899,1.4334e+06,2.31677e+06
12,44.5755,33.4022,1,2,0,2,0,2,0,2,0,2,2,62.4626,61.8855,4.2316,57.5262,39.8158,3.37976,87.796,79.6166,85.98,2.1531,5.4833,0,0,0,0,0,0,0,0,0
10,1.35794e+07,1.30244e+07,0,2,0,2,0,0,2,0,2,0,2,3.16113e+07,3.03911e+07,6.57761e+06,2.55666e+07,2.36791e+07,596357,1.91885e+06,817621,1.05632e+06,0,0,0,0,0,0,0,0,0,0,0
129,86.3137,66.9196,1,6,8,8,9,12,12,14,16,22,22,117.317,81.1673,82.6817,77.3879,35.1068,65.5538,69.6517,37.261,28.9013,37.5005,47.4144,48.5709,164.254,155.355,41.2236,40.1962,92.5924,126.043,35.1644,200.191
129,2.82245e+07,2.1608e+07,0,4,10,8,9,12,12,15,16,17,26,4.93045e+07,1.35671e+07,1.28052e+07,2.11754e+07,1.19063e+07,1.08391e+07,4.82525e+06,1.20347e+07,1.39772e+07,3.61235e+06,3.28822e+06,1.27937e+07,2.00421e+07,3.83548e+07,2.57788e+06,3.79679e+07,6.7416e+07,8.61896e+07,6.52953e+07,2.44821e+07
32,123.116,110.702,1,1,1,1,3,3,4,5,3,4,7,31.6723,224.578,163.671,16.6915,89.8682,51.5725,273.727,0.674194,17.8909,20.5981,0.627218,10.1773,18.2202,0.958903,6.01552,11.8556,210.153,188.874,179.468,376.559
