total_points,avg_dev,std_dev,label,band_1_points,band_2_points,band_3_points,band_4_points,band_5_points,band_6_points,band_7_points,band_8_points,band_9_points,band_10_points,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,dev_12,dev_13,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19,dev_20
68,79.5267,76.3227,1,4,2,5,4,8,8,6,12,6,13,52.9242,51.3642,41.9508,108.705,129.386,59.9174,56.0023,150.239,112.311,29.8883,29.4049,82.5318,87.2303,11.1461,219.941,72.7681,208.62,182.332,27.291,107.932
63,2.48235e+07,2.65452e+07,0,4,2,5,4,4,8,5,12,6,13,6.21745e+06,7.1062e+06,4.89116e+06,1.62621e+07,2.77695e+07,5.35239e+06,4.9258e+06,5.10921e+06,1.74657e+07,7.06243e+07,7.25138e+07,5.84302e+07,3.22824e+07,6.94789e+07,7.29983e+07,1.96471e+07,2.49733e+07,410002,5.21804e+07,4.5408e+07
21,76.2052,70.0952,1,1,1,1,2,2,1,3,3,3,4,30.4927,66.2776,29.9388,222.572,60.0211,142.371,93.8374,13.3735,60.1788,0.803925,9.2192,21.0535,149.21,131.846,117.011,1.42267,9.10297,15.4571,233.117,116.799
20,2.05158e+07,2.21408e+07,0,1,1,1,2,0,2,3,3,3,4,834205,2.23777e+06,5.70399e+07,2.455e+07,6.03712e+07,1.67456e+06,9.48978e+06,5.39403e+07,5.63538e+07,4.08031e+07,1.79471e+07,264315,1.81351e+06,4.73861e+06,202757,1.67066e+06,2.32275e+06,3.60385e+07,1.75068e+07,0
10,26.7604,20.9198,1,1,0,1,0,1,0,1,1,2,3,59.5944,54.1423,6.11671,11.4556,13.2349,0.587657,16.8352,30.422,48.4544,0,0,0,0,0,0,0,0,0,0,0
10,1.63176e+07,1.52521e+07,0,1,0,1,0,1,0,1,1,2,3,2.64332e+07,2.66867e+07,117427,3.6553e+07,4.05274e+07,112304,3.25167e+06,5.34119e+06,7.83583e+06,0,0,0,0,0,0,0,0,0,0,0
68,79.5266,76.3226,1,4,2,5,4,8,8,6,12,6,13,52.924,51.3639,41.9506,108.705,129.384,59.917,56.0023,150.238,112.311,29.8882,29.4047,82.5308,87.23,11.1461,219.94,72.7685,208.62,182.332,27.2916,107.933
63,2.48235e+07,2.65451e+07,0,4,2,5,4,4,8,5,12,6,13,6.21737e+06,7.10615e+06,4.89113e+06,1.6262e+07,2.77692e+07,5.35229e+06,4.92576e+06,5.10953e+06,1.74658e+07,7.06243e+07,7.25137e+07,5.843e+07,3.22826e+07,6.94789e+07,7.2998e+07,1.9647e+07,2.49733e+07,409957,5.21802e+07,4.54078e+07
21,76.2051,70.0952,1,1,1,1,2,2,1,3,3,3,4,30.4926,66.2774,29.9387,222.572,60.0215,142.371,93.8371,13.3734,60.1785,0.803935,9.2191,21.0532,149.21,131.846,117.011,1.42251,9.10303,15.457,233.116,116.798
20,2.05157e+07,2.21407e+07,0,1,1,1,2,0,2,3,3,3,4,834195,2.23718e+06,5.70398e+07,2.45501e+07,6.03706e+07,1.67455e+06,9.48979e+06,5.39401e+07,5.63538e+07,4.08032e+07,1.79473e+07,264320,1.81351e+06,4.73859e+06,202736,1.67066e+06,2.32276e+06,3.60383e+07,1.75067e+07,0
10,26.7603,20.9198,1,1,0,1,0,1,0,1,1,2,3,59.5945,54.1424,6.11663,11.4558,13.2346,0.587677,16.8351,30.4214,48.4546,0,0,0,0,0,0,0,0,0,0,0
