total_points,avg_dev,std_dev,label,band_1_points,band_2_points,band_3_points,band_4_points,band_5_points,band_6_points,band_7_points,band_8_points,band_9_points,band_10_points,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,dev_12,dev_13,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19,dev_20
20,2.06044e+07,2.22125e+07,0,1,1,1,2,0,2,3,3,3,4,829667,3.00014e+06,5.70398e+07,2.44471e+07,6.11193e+07,1.68927e+06,9.50394e+06,5.43595e+07,5.63563e+07,4.07244e+07,1.75974e+07,264693,1.8151e+06,4.78447e+06,204704,1.67264e+06,2.32531e+06,3.61759e+07,1.75748e+07,0
10,26.8175,20.8764,1,1,0,1,0,1,0,1,1,2,3,59.4727,54.0038,6.21207,11.2052,13.6603,0.584676,16.941,30.6652,48.6124,0,0,0,0,0,0,0,0,0,0,0
10,1.63536e+07,1.52693e+07,0,1,0,1,0,1,0,1,1,2,3,2.64277e+07,2.66847e+07,111229,3.66122e+07,4.06471e+07,112441,3.28613e+06,5.44122e+06,7.86001e+06,0,0,0,0,0,0,0,0,0,0,0
71,78.3602,75.065,1,4,4,3,8,4,8,12,6,12,10,115.312,90.5654,72.2588,214.809,95.0303,62.8865,59.4827,153.881,119.32,30.3638,31.4248,107.501,95.8293,13.9622,223.877,62.9818,210.748,180.261,22.6481,98.6025
73,2.46545e+07,2.63191e+07,0,4,2,5,4,8,4,11,6,12,17,6.8411e+06,6.55905e+06,5.31722e+06,1.55234e+07,3.36072e+07,6.19465e+06,5.75012e+06,2.51733e+06,1.4308e+07,7.09096e+07,7.25093e+07,6.39237e+07,2.84042e+07,6.96162e+07,7.52522e+07,2.28296e+07,2.74625e+07,179209,5.28249e+07,4.87998e+07
19,57.678,55.5647,1,1,1,1,2,0,2,3,3,3,3,32.6787,66.8385,31.2639,169.303,13.0489,139.956,13.6206,66.2617,0.828064,9.81494,25.9311,149.117,131.602,114.858,1.44405,9.40245,16.9571,45.2766,0,0
19,2.26206e+07,2.31465e+07,0,1,1,2,0,2,3,0,3,3,4,1.05011e+07,5.70947e+07,2.2489e+07,6.8172e+07,1.7927e+06,1.0765e+07,5.89717e+07,5.63005e+07,4.0028e+07,1.37396e+07,269893,1.82952e+06,5.27539e+06,227093,1.68928e+06,2.35451e+06,3.74294e+07,1.82417e+07,0,0
10,52.4471,11.6964,1,1,0,1,0,1,0,1,1,2,3,58.2031,52.5614,62.8413,28.2355,39.783,70.6192,54.7156,54.5458,50.5186,0,0,0,0,0,0,0,0,0,0,0
10,1.67641e+07,1.54666e+07,0,1,0,1,0,1,0,1,1,2,3,2.63739e+07,2.66612e+07,49252,3.74539e+07,4.18467e+07,113481,3.85069e+06,6.38469e+06,8.14299e+06,0,0,0,0,0,0,0,0,0,0,0
70,80.3447,77.0432,1,4,2,6,6,6,9,6,12,6,13,45.8371,35.3292,38.8526,80.2351,164.233,139.24,48.657,33.0875,121.037,117.508,26.9295,247.521,31.997,217.879,167.548,16.2475,78.8863,219.545,180.402,60.1587
